2026-07-02 13:02:50,980 | INFO     | trading_bot.orders | Submitting order symbol=BTCUSDT side=BUY type=MARKET qty=0.01 price=None stop_price=None
2026-07-02 13:02:50,981 | INFO     | trading_bot.client | DRY-RUN REQUEST method=POST path=/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-07-02 13:02:50,981 | INFO     | trading_bot.client | DRY-RUN RESPONSE method=POST path=/fapi/v1/order body={'orderId': 7370981, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'dryrun-285b2c89d27a', 'price': '0', 'avgPrice': '50000.00', 'origQty': '0.01', 'executedQty': '0.01', 'type': 'MARKET', 'side': 'BUY', 'timeInForce': 'GTC'}
2026-07-02 13:02:50,981 | INFO     | trading_bot.orders | Order placed successfully: {'orderId': 7370981, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'dryrun-285b2c89d27a', 'price': '0', 'avgPrice': '50000.00', 'origQty': '0.01', 'executedQty': '0.01', 'type': 'MARKET', 'side': 'BUY', 'timeInForce': 'GTC'}
2026-07-02 13:02:51,142 | INFO     | trading_bot.orders | Submitting order symbol=BTCUSDT side=SELL type=LIMIT qty=0.01 price=45000.0 stop_price=None
2026-07-02 13:02:51,142 | INFO     | trading_bot.client | DRY-RUN REQUEST method=POST path=/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 45000.0, 'timeInForce': 'GTC'}
2026-07-02 13:02:51,142 | INFO     | trading_bot.client | DRY-RUN RESPONSE method=POST path=/fapi/v1/order body={'orderId': 7371142, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'dryrun-74587143a996', 'price': '45000.0', 'avgPrice': '0.00000', 'origQty': '0.01', 'executedQty': '0', 'type': 'LIMIT', 'side': 'SELL', 'timeInForce': 'GTC'}
2026-07-02 13:02:51,143 | INFO     | trading_bot.orders | Order placed successfully: {'orderId': 7371142, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'dryrun-74587143a996', 'price': '45000.0', 'avgPrice': '0.00000', 'origQty': '0.01', 'executedQty': '0', 'type': 'LIMIT', 'side': 'SELL', 'timeInForce': 'GTC'}
2026-07-02 13:02:51,305 | INFO     | trading_bot.orders | Submitting order symbol=ETHUSDT side=BUY type=STOP_MARKET qty=0.1 price=None stop_price=2500.0
2026-07-02 13:02:51,305 | INFO     | trading_bot.client | DRY-RUN REQUEST method=POST path=/fapi/v1/order params={'symbol': 'ETHUSDT', 'side': 'BUY', 'type': 'STOP_MARKET', 'quantity': 0.1, 'stopPrice': 2500.0}
2026-07-02 13:02:51,305 | INFO     | trading_bot.client | DRY-RUN RESPONSE method=POST path=/fapi/v1/order body={'orderId': 7371305, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'dryrun-24aceeebb17d', 'price': '0', 'avgPrice': '0.00000', 'origQty': '0.1', 'executedQty': '0', 'type': 'STOP_MARKET', 'side': 'BUY', 'timeInForce': 'GTC'}
2026-07-02 13:02:51,305 | INFO     | trading_bot.orders | Order placed successfully: {'orderId': 7371305, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'dryrun-24aceeebb17d', 'price': '0', 'avgPrice': '0.00000', 'origQty': '0.1', 'executedQty': '0', 'type': 'STOP_MARKET', 'side': 'BUY', 'timeInForce': 'GTC'}
2026-07-02 13:02:51,472 | WARNING  | trading_bot.cli | Validation failed: A positive 'price' is required for LIMIT orders.
2026-07-02 13:02:51,625 | INFO     | trading_bot.orders | Submitting order symbol=BTCUSDT side=BUY type=MARKET qty=0.01 price=None stop_price=None
2026-07-02 13:02:51,625 | INFO     | trading_bot.client | REQUEST method=POST path=/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1782997371625, 'recvWindow': 5000}
2026-07-02 13:02:51,704 | ERROR    | trading_bot.client | API ERROR method=POST path=/fapi/v1/order status=403 code=None msg=None
2026-07-02 13:02:51,705 | ERROR    | trading_bot.orders | Order rejected by API: Binance API error [403] code=None: Unknown error
